Start	End	Direction	Weight
AP1B1	KIF13A	0	1
AP2B1	BUB1B	0	1
AP2B1	AP2M1	0	1
AP2B1	AP2S1	0	1
AP2B1	MEA1	0	1
AP2B1	MLH1	0	1
AP2B1	TGFBR1	0	1
AP2B1	AP1M1	0	1
AP2B1	ATP6V1G1	0	1
AP2B1	ENTH	0	1
AP2B1	KIAA0408	0	1
AP2B1	POM121	0	1
AP2B1	AP1M2	0	1
AP2B1	LDLRAP1	0	1
AP2B1	RIBC2	0	1
AP2B1	76P	0	1
AP2B1	NUP54	0	1
AP2B1	TERF2IP	0	1
AP2B1	FAM46C	0	1
AP2B1	THAP1	0	1
AP2B1	NECAP2	0	1
AP2B1	LGP2	0	1
AP1G1	ARF1	0	1
AP1G1	AP1S1	0	1
AP1G1	CLTC	0	1
AP1G1	MAP1A	0	1
AP1G1	SPTB	0	1
AP1G1	AP1S2	0	1
AP1G1	RABEP1	0	1
AP1G1	ENTH	0	1
AP1G1	AP1M2	0	1
AP1G1	AP1GBP1	0	1
AP1G1	AFTIPHILIN	0	1
AP1G1	GM632	0	1
AP1G1	KIF13A	0	1
AP1G1	DNER	0	1
AEBP1	TCF3	0	1
AES	AR	0	1
AES	GTF2E1	0	1
AES	HMGB1	0	1
AES	SIX6	0	1
AES	RELA	0	1
AES	RPL18A	0	1
AES	CCL7	0	1
AES	SH3GL3	0	1
AES	SIX1	0	1
AES	SIX3	0	1
AES	SNCAIP	0	1
AES	SIX2	0	1
AES	GABARAP	0	1
AES	MED31	0	1
AES	BIT1	0	1
AFP	CCR5	0	1
AFP	RUTBC1	0	1
AGA	IGF2R	0	1
AGC1	HAPLN1	0	1
AGC1	FBLN1	0	1
AGC1	FBLN2	0	1
AGC1	TNFAIP6	0	1
AGC1	TNR	0	1
AGER	HMGB1	0	1
AGER	S100A1	0	1
AGER	S100A12	0	1
AGER	S100B	0	1
AGER	S100P	0	1
AGER	ELP3	0	1
AGRP	MC3R	0	1
AGRP	MC4R	0	1
AGRP	MC5R	0	1
AGRP	GHRL	0	1
JAG1	MFNG	0	1
JAG1	MLLT4	0	1
JAG1	NOTCH1	0	1
JAG1	NOTCH2	0	1
JAG1	NOTCH3	0	1
AGT	AGTR1	0	1
AGT	AGTR2	0	1
AGT	EWSR1	0	1
AGT	MAS1	0	1
AGT	MEP1A	0	1
AGT	PRG2	0	1
AGT	DNPEP	0	1
AGTR1	BDKRB2	0	1
AGTR1	JAK2	0	1
AGTR1	RAB5A	0	1
AGTR2	ZBTB16	0	1
AGTR2	MTUS1	0	1
AGTRL1	APLN	0	1
AGXT	SNCAIP	0	1
NR0B1	AR	0	1
NR0B1	SREBF1	0	1
NR0B1	COPS2	0	1
AHR	ARNT	0	1
AHR	ARNTL	0	1
AHR	CCNT1	0	1
AHR	ESR1	0	1
AHR	GTF2F2	0	1
AHR	HSPCA	0	1
AHR	NEDD8	0	1
AHR	RB1	0	1
AHR	RELA	0	1
AHR	SMARCA4	0	1
AHR	SP1	0	1
AHR	TBP	0	1
AHR	NR2F1	0	1
AHR	XPO1	0	1
AHR	DAP3	0	1
AHR	NRIP1	0	1
AHR	NCOA1	0	1
AHR	AIP	0	1
AHR	PTGES3	0	1
AHSG	DCN	0	1
AHSG	INSR	0	1
AHSG	RRAS2	0	1
AHSG	FBXO2	0	1
AK1	FHL2	0	1
AKT1	BRAF	0	1
AKT1	CHUK	0	1
AKT1	MAP3K8	0	1
AKT1	FRAP1	0	1
AKT1	GRB10	0	1
